,The Elder Scrolls V Skyrim,Fallout New Vegas,Left 4 Dead 2,Team Fortress 2,Dota 2,Robocraft,Garry's Mod,Sid Meier's Civilization V,Counter-Strike Global Offensive,Grand Theft Auto V,Portal 2,Half-Life 2,Portal,Borderlands 2,Call of Duty Modern Warfare 2 - Multiplayer,Call of Duty Modern Warfare 2,Counter-Strike Source,Unturned,Alien Swarm,War Thunder,Counter-Strike,PAYDAY 2,Heroes & Generals,Terraria,Warframe
151603712,7.9120558275220585,4.7957796895257365,4.488639217757459,3.332227149331502,1.6094612270259958,1.386292235528305,3.187698745206488e-05,3.013377696772346e-05,2.643162635311123e-05,2.7225532685290806e-05,4.065287989912205e-05,2.7895305252484978e-05,2.929977924045574e-05,3.663746948353932e-05,2.5403503437105386e-05,2.6688136850910045e-05,3.6365267787825465e-05,3.476472936788738e-05,3.747950261411282e-05,3.100471161229312e-05,2.8493565816279284e-05,2.030578720578954e-05,1.8291931264953056e-05,2.8975120001948092e-05,2.8515044630204037e-05
59945701,6.363035739614941,3.32409341424124e-05,1.8267959639243114e-05,2.5170155768559656e-05,2.7390173044437954e-05,1.4701383355002984e-05,2.277981532716749e-05,5.393630294563194,3.1355066321281018,2.2533834814355308e-05,2.5130550813744718e-05,2.425884143232432e-05,3.06903395106974e-05,3.614933403968872e-05,2.322820335974567e-05,2.83923429745748e-05,2.4599687735304608e-05,3.160424502863075e-05,2.3328287330011235e-05,2.9858950235575814e-05,2.6461826951958946e-05,2.1302337705618834e-05,1.4534660659208467e-05,2.519559520819196e-05,2.6321157939441925e-05
53875128,-8.007439597738767e-05,4.317385650396303,6.5651754696979845,-7.566840030491062e-05,-7.760975986426128e-05,-6.927695954797941e-05,-7.643490527250584e-05,4.077442539645338,-7.878641760056123e-05,6.756811245259977,5.347030400002406,4.624854304510677,3.3320931530121563,2.079356413317157,-8.472504510259886e-05,-7.098043621365285e-05,-7.135402365785173e-05,-8.574193531091561e-05,-5.89965195000572e-05,-7.61691351585274e-05,-8.899225198355489e-05,-6.380364232944086e-05,-5.5356916455631364e-05,-6.67486118115655e-05,-7.627032103048712e-05
26122540,-7.488568347533954e-05,-8.363075152399379e-05,-5.550964376787147e-05,-8.459064252226829e-05,-6.652114300364486e-05,-5.195914498551657e-05,-8.049656504273063e-05,-7.904615783686901e-05,-6.620620155495745e-05,-7.135365942852729e-05,-6.494119967736031e-05,-7.570074751360796e-05,-0.00010645053218189678,-9.130896461908948e-05,6.824308091236591,6.152576073122127,4.634639230742314,-0.00010016178458036131,-7.781615088666527e-05,-7.575168125015517e-05,-9.366064274406502e-05,-6.81717447359694e-05,-7.229048819560987e-05,-6.8971971790297e-05,-9.357369693026272e-05
126340495,6.139597259690254e-05,5.401009093100473e-05,5.345538223829931e-05,5.08145656723472,9.789222374228517,3.1355048336210967,4.625016824503092,5.1666998931662164e-05,8.741969981227218,4.7263549134077306e-05,4.839850243687492e-05,6.25653932919781e-05,6.412365882477731e-05,6.31102052940763e-05,5.9804280885943396e-05,6.541152264129629e-05,7.47310034727091,8.569474477929986e-05,7.195921609809883e-05,1.386331915590637,6.882046837701111e-05,4.74867225380406e-05,4.9616446049932424e-05,5.474063764987893e-05,5.555837006322751e-05
226212066,-1.0187967323806684e-06,-3.2678614476056613e-06,4.438163639389628e-06,3.5835159546754807,7.512036222201514e-06,1.1764725759037428e-05,4.682127774347437,-1.7102342137948566e-06,6.845877427807176,9.70868439863563e-06,3.3946275824744394e-07,-3.298464141615709e-06,-3.486099391623429e-06,-2.961208449882006e-06,-3.036133722514372e-07,-5.2559666375805125e-06,4.386233333895814e-06,5.010613947390142,-4.804429655719018e-06,7.899469974724677e-06,3.404079232285329e-06,4.204675243812522,0.6931435914617844,3.7141397863239167e-06,2.396898252771439e-06
65117175,-2.516277817640098e-05,-2.7371375989526168e-05,-2.2358872576881598e-05,2.564917689436429,-3.243198757778022e-05,-3.0670166616099386e-05,-3.567353354947425e-05,-2.6941408581723222e-05,-4.527057502787561e-05,-3.055525165255918e-05,4.727339806627408,-7.2185845110123295e-06,4.510768007919748,-3.6094133744762285e-05,-2.8758121125751507e-05,-3.8967551311404875e-05,-2.53509889998078e-05,-3.067930529617296e-05,-2.111065260295167e-05,-3.798221475396728e-05,-4.1121222812349634e-05,-2.7799812323274838e-05,-2.3023077213721107e-05,-1.6455174646537393e-05,-3.986594478397691e-05
11373749,7.6960394790105,1.0984784929242573,7.900882228266426,8.938368206043267,3.0909325755133787,-9.074812189156507e-05,2.5648017529824507,-0.00012809866009989542,4.007203582976742,6.413285701146758,5.393494833980264,5.198317555792612,3.784011162236682,-0.00014006367891695502,4.343686353063997,4.700265829880575,1.3861557769137425,2.0792566589387276,3.2956372643019693,-0.00013196851233743847,-0.00016361729676185957,-0.00010096217283967522,-0.00010813135467198954,6.733242646331932,-0.00013882346430180942
54103616,5.85787948716497,-1.9387529984563898e-05,5.062562549500236,6.579200527853511,3.4339578593356794,-1.6088548317871616e-05,-4.357338243227296e-05,-3.069927907276933e-05,9.237916453131534,-3.559746917701155e-05,4.290395689497294,-2.8234410418224153e-05,-2.6105898341398562e-05,5.347043402434824,-2.5442696246629098e-05,-5.473504381773967e-05,5.768269540764603,-5.578049735738881e-05,2.944347096794837,-3.954648611053995e-05,9.218214143992265,-1.4424854355116175e-05,-2.5710411956726127e-05,2.8331553803839817,-3.117795824635527e-05
164543231,-3.197010294548938e-05,-3.6218529120265876e-05,-2.0739889259064608e-05,5.703757175601722,1.3862712537571944,4.0253117145307025,6.956501821167386,-3.364878694021413e-05,4.304036959617704,-2.4097213678119855e-05,-1.6350041801930902e-05,-2.3336683378631744e-05,-4.062067068285183e-05,-2.3929627204066543e-05,-2.8692234247521427e-05,-3.779303882218773e-05,-1.7070254769523123e-05,5.003915584472998,-2.7361590092900624e-05,-5.273717111458022e-06,-3.139653863125305e-05,-1.9318744964840135e-05,2.9956734715314757,-1.369324317724352e-05,-2.519428232097439e-05
163617342,-2.00486016260165e-06,-7.998507745590073e-06,5.495512221675566e-06,1.2641921506513472e-05,9.094922099438945,-7.337231485677797e-07,-4.138031022760268e-06,-4.500962773583068e-06,9.0513310960967,4.1364103392178495e-06,6.350066868052603e-06,3.223865425479447e-06,-2.6637919102924295e-06,9.257862004161416e-06,-8.758545928094563e-06,-7.135545339057226e-06,3.700863121721416e-06,1.632047696798714e-05,-3.349895820880804e-06,1.530468804471034e-05,1.0051602076540727e-05,-1.1307559065703295e-06,3.4964478620562454,1.094864455723619e-05,-2.1749528186173187e-07
49769103,-4.2399826930153135e-05,-4.842196728995354e-05,2.639018618207229,-4.610517487445944e-05,-3.876133028068447e-05,-2.7641482949803103e-05,-4.327039292192955e-05,-4.5285372485850816e-05,-3.182676974444039e-05,-4.171026516692852e-05,-3.556954867931268e-05,-4.3435599571647844e-05,-5.5106153590875685e-05,-4.853723301484053e-05,7.332966340318249,5.560598847195061,6.445658341252105,-5.637910531263773e-05,-3.631567133261915e-05,-4.203934130457771e-05,-4.710792714974647e-05,-3.7761594269543236e-05,-4.3127800592871154e-05,-4.178505733804622e-05,-5.295199673619998e-05
5270060,1.7407714732473758e-05,1.6235537003608006e-05,1.893117372994813e-05,2.1972344897867044,1.369680805008975e-05,1.4112167025931905e-05,1.9797239801018483e-05,1.5415514847305295e-05,1.8943465132370013e-05,1.1751845861726178e-05,1.4479585295082316e-05,1.7113821846532364e-05,2.441424309476765e-05,1.6577363797728562e-05,1.8834869971628302e-05,1.727509352265014e-05,4.804014511779809,1.524826412706627e-05,2.2052099108133587e-05,1.3433026775625948e-05,2.138732055230055e-05,1.1427819345602652e-05,1.262768315384697e-05,9.707093762445008e-06,1.2516309224336173e-05
171847029,-9.891313994058253e-05,-0.00010032891794047234,-5.70114386720872e-05,2.3025059962296086,-8.460209043484859e-05,1.609367257535528,-8.481892762772417e-05,-9.296140459974098e-05,8.762381931964585,5.798974957957957,-6.011390055776443e-05,-9.380238318206379e-05,-0.00012244902732918192,-8.396093987970915e-05,-9.37747113372048e-05,-0.000101990349688999,-9.689763121732593e-05,-6.148973288691554e-05,-8.737154402399966e-05,5.703680904889382,-9.079742198532235e-05,6.476866172667087,6.550934993534065,-6.584429405613739e-05,-8.899927461498577e-05
64350600,-0.0001524513302839499,-0.0001477537901832687,4.454223407601835,-0.00012159475335934102,3.1779308882118587,-8.35744675170737e-05,-0.00014455832163396616,-0.00013808525224103644,-0.00011134367034211178,-0.00012824355551703444,-0.00010514927991093558,-0.0001399674777814822,-0.00017532668324771395,-0.00015128160906046777,-0.00013553838087148904,-0.00017081019913479313,-0.00012769694525102917,4.67265222282828,-0.00014172560792199355,-0.00010493811705527544,7.9045052875121184,-0.00011200113468309173,5.117814115135996,-0.00011634335463044589,-0.00014233118724328513
