User,The Elder Scrolls V Skyrim,Fallout New Vegas,Left 4 Dead 2,Team Fortress 2,Dota 2,Robocraft,Garry's Mod,Sid Meier's Civilization V,Counter-Strike Global Offensive,Grand Theft Auto V,Portal 2,Half-Life 2,Portal,Borderlands 2,Call of Duty Modern Warfare 2 - Multiplayer,Call of Duty Modern Warfare 2,Counter-Strike Source,Unturned,Alien Swarm,War Thunder,Counter-Strike,PAYDAY 2,Heroes & Generals,Terraria,Warframe
151603712,273.0,12.1,8.9,2.8,0.5,0.4,0.1,,,,,,,,,,,,,,,,,,
187131847,,,,,2.3,,,,,,,,,,,,,,,,,,,,
59945701,58.0,,,0.1,,,,22.0,2.3,,,,,,,,,,,,,,,,
53875128,,7.5,71.0,,,,,5.9,,86.0,21.0,10.2,2.8,0.8,,,,,,,,,,,
140954425,,,,13.0,,,,,,,,,,,,,,,,,,,,,
26122540,,,,,,,,,,,,,,,92.0,47.0,10.3,,,,,,,,
176410694,,,,,9.1,,,,,,,,,,,,,,,,,,,,
197278511,,,,,0.5,,,,,,,,,,,,,,,,,,,,
150128162,,,,42.0,,,,,,,,,,,,,,,,,,,,,
197455089,,,,,3.4,,,,,,,,,,,,,,,,,,,,
297811211,,,,10.1,,,,,,,,,,,,,,5.6,,,,,,,
76933274,,,,,,,,,,,,,,,,,,,1.0,,,,,,
218323237,,,,,14.8,,,,,,,,,,,,,,,,,,,,
302186258,,,,,4.2,,,,,,,,,,,,,,,,,,,,
126340495,,,,16.1,1784.0,2.3,10.2,,626.0,,,,,,,,176.0,,,0.4,,,,,
194895541,,,,,1.1,,,,,,,,,,,,,,,,,,,,
170625356,,,,,7.4,,,,,,,,,,,,,,,,,,,,
167362888,,,,,135.0,,,,,,,,,,,,,,,,,,,,
208649703,,,,,,,,,125.0,,,,,,,,,,,,,,,,
225987202,,,,,3.8,,,,,,,,,,,,,,,,,,,,
195071563,,,,,6.2,,,,,,,,,,,,,,,,,,,,
254906420,,,,1.2,,,,,,,,,,,,,,,,,,,,,
247160953,,,,,1.9,,,,,,,,,,,,,,,,,,,,
308653033,,,,,,,,,,,,,,,,,,0.6,,,,,,,
144138643,,,,,5.2,,,,,,,,,,,,,,,,,,,,
97298878,,,,9.0,8.6,,,,,,,,,,,,,,,,,,,,
198572546,,,,,12.7,,,,,,,,,,,,,,,,,,,,
219509107,,,,,2.1,,,,,,,,,,,,,,,,,,,,
202906503,,,,,10.4,,,,,,,,,,,,,,,,,,,,
92107940,110.0,,,,,,40.0,,,,,,,,,,,,,,,,,,
251431515,,,,,0.9,,,,,,,,,,,,,,,,,,,,
99189757,,,,1085.0,,,,,,,,,,,,,,,,,,,,,
30695285,,,,,,,,,,,,,,,,,,,,,0.2,,,,
